date,miner,type,to_miner,address,value,pct_addrs,pct_value
1/1/2012 0:00,DeepBit,before,SAME,2960,68002.03266,0.365929039,0.779560638
1/1/2012 0:00,DeepBit,before,NEW,5093,19092.51822,0.629620472,0.218872512
1/1/2012 0:00,DeepBit,cross,SAME,8089,87231.22913,1,1
1/1/2012 0:00,DeepBit,cross,CROSS,304,3498.009448,0.037581901,0.040100426
1/1/2012 0:00,DeepBit,after,SAME,3241,70790.54771,0.400667573,0.811527573
1/1/2012 0:00,DeepBit,after,DROPOUT,4743,15930.27196,0.586351836,0.182621202
2/1/2012 0:00,DeepBit,before,SAME,3241,68466.77344,0.46923411,0.852088199
2/1/2012 0:00,DeepBit,before,NEW,3607,11616.15153,0.522223831,0.144566264
2/1/2012 0:00,DeepBit,cross,SAME,6907,80351.74471,1,1
2/1/2012 0:00,DeepBit,cross,CROSS,404,3405.272939,0.058491386,0.042379577
2/1/2012 0:00,DeepBit,after,SAME,3118,68430.59701,0.451426089,0.851637973
2/1/2012 0:00,DeepBit,after,DROPOUT,3680,11575.40098,0.532792819,0.144059112
3/1/2012 0:00,DeepBit,before,SAME,3118,63092.09496,0.483710828,0.829767678
3/1/2012 0:00,DeepBit,before,NEW,3282,12734.95244,0.509152963,0.167486148
3/1/2012 0:00,DeepBit,cross,SAME,6446,76035.85509,1,1
3/1/2012 0:00,DeepBit,cross,CROSS,465,3502.432632,0.07213776,0.046062908
3/1/2012 0:00,DeepBit,after,SAME,2857,62323.56084,0.443220602,0.819660156
3/1/2012 0:00,DeepBit,after,DROPOUT,3444,13185.00481,0.534284828,0.173405097
4/1/2012 0:00,DeepBit,before,SAME,2857,54759.97499,0.494804295,0.853531694
4/1/2012 0:00,DeepBit,before,NEW,2871,9236.770233,0.497228957,0.143971507
4/1/2012 0:00,DeepBit,cross,SAME,5774,64156.93218,1,1
4/1/2012 0:00,DeepBit,cross,CROSS,316,2438.417415,0.054728091,0.038007076
4/1/2012 0:00,DeepBit,after,SAME,2619,52424.96125,0.453585036,0.817136348
4/1/2012 0:00,DeepBit,after,DROPOUT,3045,11034.43964,0.527364046,0.171991385
5/1/2012 0:00,DeepBit,before,SAME,2619,52510.40968,0.530806648,0.869084026
5/1/2012 0:00,DeepBit,before,NEW,2234,7771.005429,0.452776652,0.128615578
5/1/2012 0:00,DeepBit,cross,SAME,4934,60420.40597,1,1
5/1/2012 0:00,DeepBit,cross,CROSS,350,24041.44494,0.07093636,0.397902738
5/1/2012 0:00,DeepBit,after,SAME,2497,51810.73146,0.506080259,0.857503862
5/1/2012 0:00,DeepBit,after,DROPOUT,2327,8386.083259,0.471625456,0.138795546
6/1/2012 0:00,DeepBit,before,SAME,2497,46726.82892,0.426691729,0.797576997
6/1/2012 0:00,DeepBit,before,NEW,3267,11600.15993,0.558270677,0.198002324
6/1/2012 0:00,DeepBit,cross,SAME,5852,58585.97864,1,1
6/1/2012 0:00,DeepBit,cross,CROSS,351,2601.962417,0.059979494,0.044412716
6/1/2012 0:00,DeepBit,after,SAME,2640,48001.3472,0.45112782,0.819331661
6/1/2012 0:00,DeepBit,after,DROPOUT,3101,10301.10313,0.529904306,0.175828814
7/1/2012 0:00,DeepBit,before,SAME,2640,45146.19544,0.379038047,0.799199501
7/1/2012 0:00,DeepBit,before,NEW,4270,11175.72037,0.613065327,0.197837937
7/1/2012 0:00,DeepBit,cross,SAME,6965,56489.26878,1,1
7/1/2012 0:00,DeepBit,cross,CROSS,381,2924.826614,0.054702082,0.051776677
7/1/2012 0:00,DeepBit,after,SAME,2757,45442.17804,0.395836324,0.804439127
7/1/2012 0:00,DeepBit,after,DROPOUT,4092,10673.46501,0.587508973,0.188946772
8/1/2012 0:00,DeepBit,before,SAME,2757,40354.47961,0.363672339,0.784500695
8/1/2012 0:00,DeepBit,before,NEW,4749,10932.38129,0.626434507,0.212528096
8/1/2012 0:00,DeepBit,cross,SAME,7581,51439.699,1,1
8/1/2012 0:00,DeepBit,cross,CROSS,491,3239.842054,0.064767181,0.062983301
8/1/2012 0:00,DeepBit,after,SAME,3018,40900.97479,0.398100514,0.795124691
8/1/2012 0:00,DeepBit,after,DROPOUT,4385,10033.6388,0.578419734,0.195056328
9/1/2012 0:00,DeepBit,before,SAME,3018,36011.32551,0.408223996,0.787098556
9/1/2012 0:00,DeepBit,before,NEW,4299,9553.966077,0.58149601,0.208820775
9/1/2012 0:00,DeepBit,cross,SAME,7393,45751.99032,1,1
9/1/2012 0:00,DeepBit,cross,CROSS,491,2631.030691,0.066414176,0.057506366
9/1/2012 0:00,DeepBit,after,SAME,3039,35880.41831,0.41106452,0.784237321
9/1/2012 0:00,DeepBit,after,DROPOUT,4203,9390.974037,0.568510753,0.205258262
10/1/2012 0:00,DeepBit,before,SAME,3039,30012.14198,0.512133468,0.845800816
10/1/2012 0:00,DeepBit,before,NEW,2831,5338.24475,0.477081227,0.15044217
10/1/2012 0:00,DeepBit,cross,SAME,5934,35483.6995,1,1
